,,,,,,,,5/26/92,,,,,
,,,,,,,,,,,,,
,,Table 1:,"MEAN, MEDIAN, AND SAMPLE SIZE--TRAVEL TIME FOR WASHCOG REGION",,,,,,,,,,
,,,,AM AND PM PEAK PERIOD,,,,,,,,,
,,,,,,,,,,,,,
,,,H2W,W2H,H2O,O2H,W2O,O2W,O2O,,,,
,,,,P  U  R  P  O  S  E,,,,,,,,,
,,Mode,Home to,Work to,Home to,Other to,Work to,Other to,Other to,,,,
,,,Work,Home,Other,Home,Other,Work,Other,,,,
,,,,,,,,,,,,,
,,AUTO-1,10.6965548367685,20.2898550724638,-3.65591397849463,0.628140703517598,19.4258373205742,19.1627906976744,32.3181549379065,,,,
,,,,,,,,,,,,,
,,AUTO-2,30.9294871794872,30.6591286400144,2.33744156396089,-4.27807486631016,13.2504288164666,-1.97568389057751,26.453781512605,,,,
,,,,,,,,,,,,,
,,AUTO-3,41.2320483749055,25.8619093896062,-9.68831567633962,19.375106130073,9.09745293466222,138.282272846295,43.9722042663219,,,,
,,,,,,,,,,,,,
,,TRANSIT,69.3712829226848,86.231884057971,33.3333333333333,38.7133365742991,98.3876329787234,22.0299884659746,15.1382596469302,,,,
,,,,,,,,,,,,,
,,ALL,19.1218275436815,27.3871677034228,1.5003441963081,1.56978991770631,7.06396328340453,18.1107048042705,29.9470179249253,,,,
,,MODES,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Source: 1968 and 1987/88 MWCOG Household,,,,,,,,,,,
,,        Travel Surveys.,,,,,,,,,,,
,,        AM Peak: 6-9 AM;   PM Peak: 3:30-6:30 PM,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 1: Change in Person Work Trip Volume Between 1968 and 1988:,,,,,,,,,,,,,
," all modes, A.M. peak period (in '000)",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,D  E  S  T  I  N  A  T  I  O  N,,,,,,,,
,,,,,,,,,,,,,
ORIGIN,,          CENTER CITY,,,        INNER SUBURBS,,,      OUTER SUBURBS,,,                  TOTAL,,
,,,,%,,,%,,,%,,,%
,,1968,1988,Change,1968,1988,Change,1968,1988,Change,1968,1988,Change
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CENTER CITY,,235.4,251.6,6.88190314358538,32,31.1,-2.8125,14.4,25.4,76.3888888888889,281.8,308.1,9.33286018452804
,,,,,,,,,,,,,
INNER SUBURBS,,122.1,125.7,2.94840294840296,58.3,91,56.0891938250429,29.7,57.4,93.2659932659933,210.1,274.1,30.4616849119467
,,,,,,,,,,,,,
OUTER SUBURBS,,85.9,192.1,123.632130384168,40.9,106.4,160.146699266504,73.6,342.1,364.809782608696,200.4,640.6,219.660678642715
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TOTAL,,443.4,569.4,28.4167794316644,131.2,228.5,74.1615853658537,117.7,424.9,261.002548853016,692.3,1222.8,76.6286292069912
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Source: 1968 and 1987/88 Metropolitan Washington Council of Governments Household Travel Surveys,,,,,,,,,,,,,
Note:     A.M. Peak: 6-9 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 2: Change in Average Work Trip Time Between 1968 and 1988:,,,,,,,,,,,,,
," all modes, A.M. peak period (in minutes)",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
